répéter;46;ver
relâcher;46;ver
me;46;pro_per
eh;46;ono
angleterre;46;nom
soleil;45;nom
reconnaître;45;ver
quart;45;nom
mât;45;nom
haut;45;adj
fort;45;adj_sup
europe;45;nr
devant;45;pre
convenir;45;ver
colonie;45;nom
ardagh;45;nr
agir;45;ver
sembler;44;ver
porter;44;ver
plein;44;pre
côté;44;nom
comment;44;con
barre;44;nom
puisque;43;con
pensionnaire;43;nom
partie;43;nom
instant;43;nom
fond;43;nom
côte;43;nom
craindre;43;ver
car;43;con
permettre;42;ver
penser;42;ver
parage;42;nom
mouillage;42;nom
jeter;42;ver
sentir;41;ver
quelle;41;adj_int
embarquer;41;ver
compter;41;ver
chercher;41;ver
arrivée;41;nom
tomber;40;ver
rencontrer;40;ver
or;40;con
niels;40;nr
neuf;40;adj_num
jusqu_à;40;pre
journée;40;nom
garder;40;ver
farmar;40;nr
elles;40;pro_per
courant;40;adj
établir;39;ver
porte;39;nom
place;39;nom
pavillon;39;nom
maintenant;39;adv_sup
horizon;39;nom
calme;39;nom
quand;38;con
gagner;38;ver
excellent;38;adj
conduire;38;ver
atlantique;38;adj
antigoa;38;nr
ancre;38;nom
thomas;37;nom
présenter;37;ver
poste;37;nom
part;37;nom
occidental;37;adj
notre;37;adj_pos
lucie;37;nr
inde;37;nom
guadeloupe;37;nr
beau;37;adj
aussitôt;37;adv
éloigner;36;ver
valoir;36;ver
toutefois;36;adv_sup
situation;36;nom
retour;36;nom
parvenir;36;ver
ouvrir;36;ver
moi;36;pro_per
mes;36;adj_pos
gens;36;nom
dix;36;adj_num
distance;36;nom
continuer;36;ver
celui;36;pro_dem
cas;36;nom
wickborn;35;nr
ranyah;35;nr
quel;35;adj_int
près;35;pre
mot;35;nom
axel;35;nom
archipel;35;nom
étendre;34;ver
époque;34;nom
veille;34;nom
tarder;34;ver
presque;34;adv_sup
oeil;34;nom
nombre;34;nom
livre;34;nom
directeur;34;nom
devenir;34;ver
demi;34;adj_sup
commencer;34;ver
chose;34;nom
celle;34;pro_dem
albertus;34;nr
rentrer;33;ver
monter;33;ver
laquelle;33;pro_rel
dominique;33;nr
descendre;33;ver
danger;33;nom
cri;33;nom
compte;33;nom
circonstance;33;nom
bande;33;nom
songer;32;ver
ordre;32;nom
navigation;32;nom
leuwen;32;nr
favorable;32;adj
chacun;32;pro_ind
bientôt;32;adv
barrand;32;nr
appeler;32;ver
abandonner;32;ver
quai;31;nom
près_de;31;adv
matin;31;nom
jusqu_au;31;pre
impossible;31;adj
hunier;31;nom
honneur;31;nom
déjeuner;31;ver
d_abord;31;adv_sup
cogh;31;nr
approcher;31;ver
ami;31;nom
afin;31;adv_sup
voici;30;pre
tandis_que;30;con
séparer;30;ver
sud;30;nom
répliquer;30;ver
mal;30;adv_sup
espérer;30;ver
envoyer;30;ver
diriger;30;ver
concours;30;nom
cap;30;nom
assurément;30;adv
amener;30;ver
somme;29;nom
seulement;29;adv
relever;29;ver
nuage;29;nom
indiquer;29;ver
canal;29;nom
boursier;29;adj
atteindre;29;ver
arrêter;29;ver
économe;28;nom
voix;28;nom
steamer;28;nom
pourquoi;28;con
plutôt;28;adv
mois;28;nom
misaine;28;nom
martin;28;nom
lettre;28;nom
huit;28;adj_num
heureux;28;adj
halifax;28;nr
finir;28;ver
environ;28;nom_sup
tête;27;nom
surface;27;nom
servir;27;ver
retrouver;27;ver
produire;27;ver
pousser;27;ver
offrir;27;ver
nos;27;adj_pos
monde;27;nom
marcher;27;ver
hollandais;27;nom
hisser;27;ver
effectuer;27;ver
disposition;27;nom
ciel;27;nom
chaque;27;adj_ind
chance;27;nom
campagne;27;nom
cale;27;nom
c3;27;nr
vivre;26;ver
surprendre;26;ver
serpent;26;nom
remonter;26;ver
officier;26;nom
océan;26;nom
mauvais;26;adj
manière;26;nom
lequel;26;pro_rel
danois;26;adj
coucher;26;ver
causer;26;ver
arbre;26;nom
appartenir;26;ver
visite;25;nom
souffler;25;ver
rejoindre;25;ver
police;25;nom
nord;25;nom
minute;25;nom
importer;25;ver
ici;25;adv_sup
grâce;25;pre
franchir;25;ver
excursion;25;nom
difficile;25;adj
coeur;25;nom
brume;25;nom
autant;25;adv_sup
vapeur;24;nom
table;24;nom
suffire;24;ver
service;24;nom
regarder;24;ver
ramener;24;ver
puisqu;24;con
posséder;24;ver
personnel;24;adj
pays;24;nom
maison;24;nom
irlande;24;nr
