monde;27;nom
marcher;27;ver
hollandais;27;nom
hisser;27;ver
effectuer;27;ver
disposition;27;nom
ciel;27;nom
chance;27;nom
campagne;27;nom
cale;27;nom
c3;27;nr
vivre;26;ver
surprendre;26;ver
serpent;26;nom
remonter;26;ver
officier;26;nom
océan;26;nom
mauvais;26;adj
manière;26;nom
danois;26;adj
coucher;26;ver
causer;26;ver
arbre;26;nom
appartenir;26;ver
visite;25;nom
souffler;25;ver
rejoindre;25;ver
police;25;nom
nord;25;nom
minute;25;nom
importer;25;ver
franchir;25;ver
excursion;25;nom
difficile;25;adj
coeur;25;nom
brume;25;nom
vapeur;24;nom
table;24;nom
suffire;24;ver
service;24;nom
regarder;24;ver
ramener;24;ver
posséder;24;ver
personnel;24;adj
pays;24;nom
maison;24;nom
irlande;24;nr
inquiétude;24;nom
dépasser;24;ver
croix;24;nom
conserver;24;ver
bras;24;nom
bourse;24;nom
antilie;24;nr
affaire;24;nom
achever;24;ver
éviter;23;ver
éprouver;23;ver
tirer;23;ver
tempête;23;nom
soin;23;nom
retard;23;nom
noir;23;adj
naturel;23;adj
mesure;23;nom
habitude;23;nom
fin;23;nom
dormir;23;ver
disparaître;23;ver
colon;23;nom
wagah;22;nr
unir;22;ver
tour;22;nom
sérieux;22;adj
sommeil;22;nom
semaine;22;nom
seconde;22;nom
regagner;22;ver
prêt;22;adj
oublier;22;ver
nord_est;22;nom
mètre;22;nom
misérable;22;adj
midi;22;nom
matinée;22;nom
maritime;22;adj
liverpool;22;nr
littoral;22;nom
intention;22;nom
habitant;22;nom
force;22;nom
fixer;22;ver
durer;22;ver
commander;22;ver
barthélemy;22;nr
tribord;21;nom
sud_ouest;21;nom
regard;21;nom
propos;21;nom
profiter;21;ver
obliger;21;ver
malfaiteur;21;nom
ligne;21;nom
latin;21;adj
kilomètre;21;nom
houle;21;nom
hauteur;21;nom
feu;21;nom
extrême;21;adj
constables;21;nr
britannique;21;adj
bout;21;nom
aviron;21;nom
asseoir;21;ver
alizé;21;nom
voilure;20;nom
souvenir;20;ver
rue;20;nom
recherche;20;nom
prison;20;nom
possession;20;nom
pirate;20;nom
nécessaire;20;adj
mouvement;20;nom
marée;20;nom
manquer;20;ver
index;20;nom
important;20;adj
imaginer;20;ver
guère;20;adv
gros;20;adj
george;20;nr
expliquer;20;ver
espoir;20;nom
entrer;20;ver
droit;20;nom
confiance;20;nom
caraïbe;20;nom
air;20;nom
admettre;20;ver
écouter;19;ver
écouler;19;ver
échanger;19;ver
voisin;19;nom
violent;19;adj
vie;19;nom
risquer;19;ver
rire;19;ver
précaution;19;nom
prudent;19;adj
projet;19;nom
prime;19;nom
parent;19;nom
pacifique;19;adj
installer;19;ver
guerre;19;nom
groupe;19;nom
fugitif;19;nom
essex;19;nr
entrée;19;nom
entraîner;19;ver
entier;19;adj
emparer;19;ver
décider;19;ver
début;19;nom
débarquer;19;ver
date;19;nom
cours;19;nom
concerner;19;ver
commerce;19;nom
charger;19;ver
changer;19;ver
bâbord;19;nom
bourses_de_voyage;19;nr
appuyer;19;ver
accompagner;19;ver
accepter;19;ver
w;18;nom
vitesse;18;nom
vieux;18;adj
verre;18;nom
vergue;18;nom
toucher;18;ver
title;18;nr
taverne;18;nom
surplus;18;nom
réponse;18;nom
revoir;18;nom
retourner;18;ver
remplir;18;ver
prolonger;18;ver
prochain;18;adj
php;18;nr
pensée;18;nom
occasion;18;nom
hôte;18;nom
exposer;18;ver
essayer;18;ver
esprit;18;nom
défendre;18;ver
digne;18;adj
complet;18;adj
appareiller;18;ver
accueil;18;nom
accoster;18;ver
étonner;17;ver
établissement;17;nom
élève;17;nom
vif;17;adj
vaste;17;adj
touriste;17;nom
terme;17;nom
sûr;17;adj
suédois;17;nom
sud_est;17;nom
situer;17;ver
réussir;17;ver
résister;17;ver
retarder;17;ver
remettre;17;ver
remarquer;17;ver
quartier;17;nom
prévenir;17;ver
présent;17;nom
présence;17;nom
précisément;17;adv
pitre;17;nom
nombreux;17;adj
naître;17;ver
maintenir;17;ver
intérieur;17;nom
idée;17;nom
hollande;17;nom
habiter;17;ver
glisser;17;ver
empêcher;17;ver
emporter;17;ver
dîner;17;nom
doux;17;adj
cuisinier;17;nom
corps;17;nom
conversation;17;nom
citation;17;nom
christian;17;nr
capitale;17;nom
bruit;17;nom
blanc;17;adj
avantage;17;nom
appareillage;17;nom
traiter;16;ver
sujet;16;nom
réveiller;16;ver
